,s,ns,vx,vy,vz,wx,wy,wz,x,y,q.x,q.y,q.z,q.w
0,1651541251,846898823,0.0,0.0,0.0,0.0,0.0,0.0,0.011861584334516308,0.2923981266949322,0.0,0.0,0.14924294584754524,0.9888005578046296
0,1651541251,868089317,0.0,0.0,0.0,0.0,0.0,0.0,0.012766303829407357,0.30214219725214403,0.0,0.0,0.14769602060824674,0.9890328030437051
0,1651541251,896636236,0.0,0.0,0.0,0.0,0.0,0.0,0.017113470846671586,0.29593672878624083,0.0,0.0,0.1485676437615478,0.9889022475589495
0,1651541251,931822926,0.0,0.0,0.0,0.0,0.0,0.0,0.014337679878731,0.3087536858665282,0.0,0.0,0.1474317250149108,0.989072235207888
0,1651541251,967555665,0.0,0.0,0.0,0.0,0.0,0.0,0.01382601739659077,0.2996567094993761,0.0,0.0,0.14775766525414397,0.9890235954509096
0,1651541252,11403236,0.0,0.0,0.0,0.0,0.0,0.0,0.015896506172501074,0.303109224444858,0.0,0.0,0.14797799574082587,0.9889906535334538
0,1651541252,49378753,0.0,0.0,0.0,0.0,0.0,0.0,0.011787547822907227,0.30730346838940337,0.0,0.0,0.1469932980796337,0.9891374880771995
0,1651541252,87755057,0.0,0.0,0.0,0.0,0.0,0.0,0.002919838549575728,0.2954057051265334,0.0,0.0,0.14820501423919788,0.9889566591890462
0,1651541252,127989576,0.0,0.0,0.0,0.0,0.0,0.0,0.016810187832039174,0.28161450407835176,0.0,0.0,0.15132682532908592,0.9884837843565368
0,1651541252,165674279,0.0,0.0,0.0,0.0,0.0,0.0,0.02586374667189598,0.2779422845031102,0.0,0.0,0.15215454618490837,0.9883567139829954
0,1651541252,206621675,0.0,0.0,0.0,0.0,0.0,0.0,0.01901948177230369,0.2842777275634302,0.0,0.0,0.14930240787497143,0.9887915811750906
0,1651541252,247440382,0.0,0.0,0.0,0.0,0.0,0.0,0.018121045202035065,0.28312092697695057,0.0,0.0,0.1514626525628424,0.9884629810360263
0,1651541252,286400042,0.0,0.0,0.0,0.0,0.0,0.0,0.017805760179553227,0.2830360331054207,0.0,0.0,0.15024409522222273,0.9886489325594074
0,1651541252,326339235,0.0,0.0,0.0,0.0,0.0,0.0,0.016531681366152632,0.27505297244530824,0.0,0.0,0.15198348148656896,0.9883830337248923
0,1651541252,395639620,0.0,0.0,0.0,0.0,0.0,0.0,0.01866152181776305,0.2788896125956027,0.0,0.0,0.1514976791224119,0.9884576132644852
0,1651541252,425105376,0.0,0.0,0.0,0.0,0.0,0.0,0.013926561400726371,0.2772876751670522,0.0,0.0,0.15112052041465165,0.9885153455104301
0,1651541252,497266197,0.0,0.0,0.0,0.0,0.0,0.0,0.014474731572046097,0.300174380918222,0.0,0.0,0.1492061020388116,0.988806118060757
0,1651541252,535078086,0.0,0.0,0.0,0.0,0.0,0.0,0.019476763273379143,0.2968791263963823,0.0,0.0,0.15044930135498816,0.9886177257776617
0,1651541252,560878188,0.0,0.0,0.0,0.0,0.0,0.0,0.02384762480915701,0.2999829221039546,0.0,0.0,0.14913560284916944,0.9888167534800444
0,1651541252,613584600,0.0,0.0,0.0,0.0,0.0,0.0,0.022533247472236895,0.29717080180905603,0.0,0.0,0.14875045954355423,0.9888747649655043
0,1651541252,631159963,0.0,0.0,0.0,0.0,0.0,0.0,0.028864859192474605,0.29794390925578046,0.0,0.0,0.14942539280726702,0.9887730032643458
0,1651541252,680816586,0.0,0.0,0.0,0.0,0.0,0.0,0.01063309274752322,0.28582298690341656,0.0,0.0,0.1504056828281484,0.9886243627247906
0,1651541252,721780300,0.0,0.0,0.0,0.0,0.0,0.0,0.017603876941439577,0.290915206179331,0.0,0.0,0.1494008418221626,0.9887767131475281
0,1651541252,786810686,0.0,0.0,0.0,0.0,0.0,0.0,0.010102530598842387,0.2988694411805406,0.0,0.0,0.1486376751170642,0.9888917238685913
0,1651541252,844108372,0.0,0.0,0.0,0.0,0.0,0.0,0.0179124357422483,0.29868487342718353,0.0,0.0,0.14945122251225762,0.9887690994815683
0,1651541252,878910019,0.0,0.0,0.0,0.0,0.0,0.0,0.014013938067973025,0.29958597014753446,0.0,0.0,0.14790237142875817,0.989001965885685
0,1651541252,913655897,0.0,0.0,0.0,0.0,0.0,0.0,0.007365112932133404,0.29301107949880645,0.0,0.0,0.14955873934073186,0.9887528424671208
0,1651541252,945287001,0.0,0.0,0.0,0.0,0.0,0.0,0.018208944915891714,0.2928007221082869,0.0,0.0,0.1488640557401946,0.9888576707032111
0,1651541252,981899349,0.0,0.0,0.0,0.0,0.0,0.0,0.006575949799736137,0.30103793449479854,0.0,0.0,0.14855498666755032,0.9889041490135452
0,1651541253,33455143,0.0,0.0,0.0,0.0,0.0,0.0,0.018879371065495882,0.2940875190408533,0.0,0.0,0.14947250541390794,0.9887658823631048
0,1651541253,87316876,0.0,0.0,0.0,0.0,0.0,0.0,0.022348532541695842,0.2959904397338607,0.0,0.0,0.14956457092248895,0.9887519603645657
0,1651541253,106325193,0.0,0.0,0.0,0.0,0.0,0.0,0.009366468992082563,0.29423683283843327,0.0,0.0,0.14879407050992596,0.988868203847756
0,1651541253,173004923,0.0,0.0,0.0,0.0,0.0,0.0,0.021266699794345065,0.29593580387106655,0.0,0.0,0.148897931914794,0.9888525703417559
0,1651541253,209179723,0.0,0.0,0.0,0.0,0.0,0.0,0.004045297717643101,0.3029399186236976,0.0,0.0,0.14806700419745894,0.988977331523827
0,1651541253,245242951,0.0,0.0,0.0,0.0,0.0,0.0,0.015311193145490821,0.2903877374138627,0.0,0.0,0.1500456443575266,0.9886790705832377
0,1651541253,279968127,0.0,0.0,0.0,0.0,0.0,0.0,0.011330412159394228,0.2978551527861572,0.0,0.0,0.148699605304619,0.9888824133243803
0,1651541253,322727376,0.0,0.0,0.0,0.0,0.0,0.0,0.02770028878082537,0.29583693392596666,0.0,0.0,0.1488174016151973,0.9888646929567771
0,1651541253,365883443,0.0,0.0,0.0,0.0,0.0,0.0,0.017439641204182267,0.28999489565337805,0.0,0.0,0.1502120287091892,0.9886538051467104
0,1651541253,400081800,0.0,0.0,0.0,0.0,0.0,0.0,0.012271880191803046,0.296849904366656,0.0,0.0,0.14853436324364508,0.9889072468820344
0,1651541253,442869462,0.0,0.0,0.0,0.0,0.0,0.0,0.0184833764999498,0.2869323987277915,0.0,0.0,0.15107155190621765,0.988522830391209
0,1651541253,506605407,0.0,0.0,0.0,0.0,0.0,0.0,0.009781018318683443,0.281691019766171,0.0,0.0,0.15093720917778586,0.9885433520517051
0,1651541253,541375954,0.0,0.0,0.0,0.0,0.0,0.0,0.015758256067251047,0.2771918348575891,0.0,0.0,0.1511202685359743,0.9885153840166652
0,1651541253,585638836,0.0,0.0,0.0,0.0,0.0,0.0,0.015540572614947764,0.29418392574752295,0.0,0.0,0.1497891542519582,0.9887179624485858
0,1651541253,627533930,0.0,0.0,0.0,0.0,0.0,0.0,0.0016911767987575952,0.3049896188418892,0.0,0.0,0.14744520121772325,0.9890702263428341
