,s,ns,cM,cI,DC,RPM,VI,ED,ER
0,1651608966,734769348,2.75,0.17,-0.078,-6259.0,11.9,0.1582,0.0013
0,1651608966,794482061,3.26,0.2,-0.077,-6063.0,11.9,0.1582,0.0013
0,1651608966,855082209,3.75,0.23,-0.075,-5911.0,11.8,0.1583,0.0013
0,1651608966,931601669,3.11,0.18,-0.073,-5735.0,11.8,0.1583,0.0013
0,1651608966,990294656,3.63,0.22,-0.072,-5639.0,11.8,0.1583,0.0013
0,1651608967,35274346,3.98,0.24,-0.071,-5587.0,11.8,0.1584,0.0013
0,1651608967,109431182,4.32,0.26,-0.071,-5492.0,11.9,0.1584,0.0013
0,1651608967,174293338,4.57,0.28,-0.073,-5436.0,11.9,0.1585,0.0013
0,1651608967,249514893,3.73,0.22,-0.07,-5396.0,11.8,0.1586,0.0013
0,1651608967,314272887,3.93,0.23,-0.069,-5376.0,11.8,0.1586,0.0013
0,1651608967,371420255,3.67,0.21,-0.071,-5365.0,11.9,0.1587,0.0013
0,1651608967,430265692,2.82,0.16,-0.069,-5377.0,11.9,0.1587,0.0013
0,1651608967,494659714,4.25,0.25,-0.07,-5359.0,11.9,0.1587,0.0013
0,1651608967,549447243,17.41,2.23,-0.068,-5983.0,11.8,0.159,0.0013
0,1651608967,634915107,17.27,2.06,-0.129,-6379.0,11.9,0.1593,0.0013
0,1651608967,690058864,1.49,0.08,-0.07,-6464.0,11.9,0.1594,0.0013
0,1651608967,755919241,18.62,2.38,-0.198,-6735.0,11.9,0.1596,0.0013
0,1651608967,810701682,13.69,1.88,-0.184,-7114.0,11.8,0.1598,0.0013
0,1651608967,874480815,6.64,0.55,-0.089,-7513.0,11.9,0.16,0.0013
0,1651608967,935107140,2.18,0.14,-0.07,-7899.0,11.8,0.1601,0.0013
0,1651608967,994470921,14.99,2.03,-0.117,-8670.0,11.8,0.1604,0.0013
0,1651608968,54461397,5.38,0.63,-0.093,-9064.0,11.9,0.1607,0.0013
0,1651608968,114429153,14.01,2.59,-0.152,-11466.0,11.8,0.1618,0.0013
0,1651608968,190054745,4.03,0.45,-0.133,-11009.0,11.9,0.162,0.0013
0,1651608968,237510242,1.98,0.16,-0.122,-10827.0,11.9,0.162,0.0013
0,1651608968,295798137,0.71,0.03,-0.128,-10753.0,11.9,0.162,0.0013
0,1651608968,329310317,0.12,0.02,-0.126,-10637.0,11.9,0.162,0.0013
0,1651608968,389776255,-0.28,0.0,-0.116,-10232.0,11.9,0.162,0.0013
0,1651608968,456196031,0.47,0.01,-0.109,-9849.0,11.9,0.162,0.0013
0,1651608968,490296987,1.5,0.1,-0.106,-9440.0,11.8,0.162,0.0013
0,1651608968,549351579,-0.7,-0.03,-0.107,-8987.0,11.8,0.162,0.0013
0,1651608968,595218384,0.86,0.03,-0.095,-8810.0,11.9,0.162,0.0013
0,1651608968,650115066,-0.55,-0.02,-0.087,-7937.0,11.8,0.162,0.0013
0,1651608968,694462331,-0.14,0.0,-0.094,-7854.0,11.8,0.162,0.0013
0,1651608968,750149744,4.08,0.59,-0.169,-7418.0,11.7,0.162,0.0013
0,1651608968,790209849,4.8,0.37,-0.104,-7827.0,11.8,0.1622,0.0013
0,1651608968,850414504,5.73,0.49,-0.088,-7671.0,11.8,0.1625,0.0013
0,1651608968,917773780,1.48,0.06,-0.078,-7010.0,11.9,0.1625,0.0013
0,1651608968,955267644,-0.62,-0.02,-0.083,-6832.0,11.9,0.1625,0.0013
0,1651608968,992515937,0.44,0.01,-0.088,-7002.0,11.8,0.1625,0.0013
0,1651608969,49833834,4.98,0.55,-0.162,-6702.0,11.8,0.1625,0.0013
0,1651608969,114242352,8.22,0.65,-0.108,-7307.0,11.8,0.1628,0.0013
0,1651608969,149346201,5.28,0.39,-0.092,-7095.0,11.9,0.1628,0.0013
0,1651608969,214513257,3.18,0.21,-0.086,-6771.0,11.8,0.1629,0.0013
0,1651608969,254906166,0.84,0.02,-0.062,-6482.0,11.8,0.1629,0.0013
0,1651608969,314711136,-0.27,-0.01,-0.093,-6377.0,11.9,0.1629,0.0013
0,1651608969,354759177,45.72,11.58,-0.362,-8296.0,11.7,0.1635,0.0013
0,1651608969,410139802,45.97,11.35,-0.355,-12014.0,11.7,0.1649,0.0013
0,1651608969,454602876,31.51,7.66,-0.243,-14742.0,11.8,0.1663,0.0013
0,1651608969,510228784,14.67,2.63,-0.161,-14842.0,11.8,0.1668,0.0013
0,1651608969,562042514,5.1,0.57,-0.121,-13325.0,11.8,0.1668,0.0013
0,1651608969,609309977,-0.5,-0.05,-0.148,-12194.0,11.8,0.1668,0.0014
